Code département;Code de la commune;LIBGEO;% Exp/Ins;CODGEO;Score_Gauche;Score_Droite;Score_Divers
29;208;Plourin;54.83;29208;22.77;77.22;0.01
29;209;Plouvien;47.23;29209;29.02;70.98;0.0
29;212;Plouzané;50.34;29212;36.28;63.72;0.0
29;221;Porspoder;60.76;29221;29.59;70.4;0.01
29;257;Saint-Pabu;50.71;29257;32.04;67.96;0.0
29;260;Saint-Renan;48.49;29260;29.76;70.24;0.0
29;282;Trébabu;58.98;29282;27.59;72.41;0.0
29;299;Tréouergat;54.85;29299;29.24;70.77;0.0
29;14;Botsorhel;54.03;29014;35.09;64.9;0.01
29;23;Carantec;62.64;29023;23.98;75.91;0.11
29;30;Cléder;44.94;29030;24.61;75.4;0.0
29;34;Le Cloître-Saint-Thégonnec;53.68;29034;46.67;53.34;0.0
29;38;Commana;53.14;29038;42.95;57.04;0.01
29;59;Garlan;52.47;29059;42.76;57.25;0.0
29;67;Guerlesquin;49.9;29067;32.25;67.75;0.0
29;68;Guiclan;47.2;29068;29.05;70.83;0.12
29;73;Guimaëc;59.18;29073;47.47;52.52;0.01
29;79;Henvic;52.99;29079;31.67;68.34;0.0
29;82;Ile-de-Batz;64.24;29082;23.34;76.68;0.0
29;113;Lanmeur;52.49;29113;40.15;59.86;0.0
29;114;Lannéanou;54.55;29114;43.75;56.25;0.0
29;116;Lanneuffret;58.88;29116;28.56;71.43;0.01
29;128;Loc-Eguiner;59.46;29128;18.18;81.83;0.0
29;131;Locmélar;55.59;29131;31.86;68.13;0.01
29;132;Locquénolé;63.43;29132;42.58;57.42;0.0
29;133;Locquirec;58.68;29133;32.11;67.9;0.0
29;144;La Martyre;49.48;29144;35.08;64.91;0.01
29;148;Mespaul;51.35;29148;20.53;79.47;0.0
29;151;Morlaix;50.68;29151;44.02;55.5;0.48
29;163;Pleyber-Christ;51.26;29163;39.63;60.29;0.08
29;180;Ploudiry;54.42;29180;29.75;70.24;0.01
29;182;Plouégat-Guérand;50.95;29182;47.07;52.93;0.0
29;183;Plouégat-Moysan;51.72;29183;38.33;61.67;0.0
29;184;Plouénan;45.49;29184;25.34;74.65;0.01
29;186;Plouézoc'h;60.15;29186;41.68;58.21;0.11
29;188;Plougasnou;61.75;29188;35.43;64.56;0.01
29;191;Plougonven;50.82;29191;42.02;57.98;0.0
29;192;Plougoulm;51.66;29192;29.25;70.75;0.0
29;199;Plouigneau;50.29;29199;36.84;63.15;0.01
29;202;Plounéour-Ménez;54.83;29202;48.92;51.1;0.0
29;207;Plourin-lès-Morlaix;53.43;29207;38.21;61.8;0.0
29;210;Plouvorn;46.0;29210;21.87;78.13;0.0
29;213;Plouzévédé;50.26;29213;18.81;81.21;0.0
29;237;La Roche-Maurice;55.17;29237;39.37;60.64;0.0
29;239;Roscoff;55.07;29239;23.62;76.37;0.01
29;251;Saint-Jean-du-Doigt;62.52;29251;50.41;49.58;0.01
29;254;Saint-Martin-des-Champs;52.83;29254;37.54;62.36;0.1
29;259;Saint-Pol-de-Léon;50.71;29259;25.92;74.09;0.0
29;262;Saint-Sauveur;45.03;29262;30.71;69.3;0.0
29;265;Sainte-Sève;57.3;29265;36.07;63.94;0.0
