CODGEO,LIBGEO,Code département,annee,type,taux_brut_de_natalit___pour_mille_
22296,Saint-Glen,22,2022,Taux brut de natalité (pour mille),8.2
22299,Saint-Hélen,22,2022,Taux brut de natalité (pour mille),8.2
22300,Saint-Hervé,22,2022,Taux brut de natalité (pour mille),8.2
22302,Saint-Jacut-de-la-Mer,22,2022,Taux brut de natalité (pour mille),8.2
22304,Saint-Jean-Kerdaniel,22,2022,Taux brut de natalité (pour mille),8.2
22305,Saint-Jouan-de-l'Isle,22,2022,Taux brut de natalité (pour mille),8.2
22306,Saint-Judoce,22,2022,Taux brut de natalité (pour mille),8.2
22307,Saint-Julien,22,2022,Taux brut de natalité (pour mille),8.2
22308,Saint-Juvat,22,2022,Taux brut de natalité (pour mille),8.2
22309,Saint-Launeuc,22,2022,Taux brut de natalité (pour mille),8.2
22310,Saint-Laurent,22,2022,Taux brut de natalité (pour mille),8.2
22311,Saint-Lormel,22,2022,Taux brut de natalité (pour mille),8.2
22312,Saint-Maden,22,2022,Taux brut de natalité (pour mille),8.2
22313,Saint-Martin-des-Prés,22,2022,Taux brut de natalité (pour mille),8.2
22314,Saint-Maudan,22,2022,Taux brut de natalité (pour mille),8.2
22315,Saint-Maudez,22,2022,Taux brut de natalité (pour mille),8.2
22316,Saint-Mayeux,22,2022,Taux brut de natalité (pour mille),8.2
22317,Saint-Méloir-des-Bois,22,2022,Taux brut de natalité (pour mille),8.2
22318,Saint-Michel-de-Plélan,22,2022,Taux brut de natalité (pour mille),8.2
22319,Saint-Michel-en-Grève,22,2022,Taux brut de natalité (pour mille),8.2
22320,Saint-Nicodème,22,2022,Taux brut de natalité (pour mille),8.2
22321,Saint-Nicolas-du-Pélem,22,2022,Taux brut de natalité (pour mille),8.2
22322,Saint-Péver,22,2022,Taux brut de natalité (pour mille),8.2
22323,Saint-Pôtan,22,2022,Taux brut de natalité (pour mille),8.2
22324,Saint-Quay-Perros,22,2022,Taux brut de natalité (pour mille),8.2
22325,Saint-Quay-Portrieux,22,2022,Taux brut de natalité (pour mille),8.2
22326,Saint-Rieul,22,2022,Taux brut de natalité (pour mille),8.2
22327,Saint-Samson-sur-Rance,22,2022,Taux brut de natalité (pour mille),8.2
22328,Saint-Servais,22,2022,Taux brut de natalité (pour mille),8.2
22330,Saint-Thélo,22,2022,Taux brut de natalité (pour mille),8.2
22331,Sainte-Tréphine,22,2022,Taux brut de natalité (pour mille),8.2
22332,Saint-Trimoël,22,2022,Taux brut de natalité (pour mille),8.2
22333,Saint-Vran,22,2022,Taux brut de natalité (pour mille),8.2
22334,Saint-Igeaux,22,2022,Taux brut de natalité (pour mille),8.2
22335,Senven-Léhart,22,2022,Taux brut de natalité (pour mille),8.2
22337,Sévignac,22,2022,Taux brut de natalité (pour mille),8.2
22338,Squiffiec,22,2022,Taux brut de natalité (pour mille),8.2
22339,Taden,22,2022,Taux brut de natalité (pour mille),8.2
22340,Tonquédec,22,2022,Taux brut de natalité (pour mille),8.2
22341,Tramain,22,2022,Taux brut de natalité (pour mille),8.2
22342,Trébédan,22,2022,Taux brut de natalité (pour mille),8.2
22343,Trébeurden,22,2022,Taux brut de natalité (pour mille),8.2
22344,Trébrivan,22,2022,Taux brut de natalité (pour mille),8.2
22345,Trébry,22,2022,Taux brut de natalité (pour mille),8.2
22346,Trédaniel,22,2022,Taux brut de natalité (pour mille),8.2
22347,Trédarzec,22,2022,Taux brut de natalité (pour mille),8.2
22348,Trédias,22,2022,Taux brut de natalité (pour mille),8.2
22349,Trédrez-Locquémeau,22,2022,Taux brut de natalité (pour mille),8.2
22350,Tréduder,22,2022,Taux brut de natalité (pour mille),8.2
22351,Treffrin,22,2022,Taux brut de natalité (pour mille),8.2
22352,Tréfumel,22,2022,Taux brut de natalité (pour mille),8.2
22353,Trégastel,22,2022,Taux brut de natalité (pour mille),8.2
22354,Tréglamus,22,2022,Taux brut de natalité (pour mille),8.2
22356,Trégomeur,22,2022,Taux brut de natalité (pour mille),8.2
22358,Trégonneau,22,2022,Taux brut de natalité (pour mille),8.2
22359,Trégrom,22,2022,Taux brut de natalité (pour mille),8.2
22360,Trégueux,22,2022,Taux brut de natalité (pour mille),8.2
22361,Tréguidel,22,2022,Taux brut de natalité (pour mille),8.2
22362,Tréguier,22,2022,Taux brut de natalité (pour mille),8.2
22363,Trélévern,22,2022,Taux brut de natalité (pour mille),8.2
22364,Trélivan,22,2022,Taux brut de natalité (pour mille),8.2
22365,Trémargat,22,2022,Taux brut de natalité (pour mille),8.2
22366,Trémel,22,2022,Taux brut de natalité (pour mille),8.2
22368,Tréméreuc,22,2022,Taux brut de natalité (pour mille),8.2
22369,Trémeur,22,2022,Taux brut de natalité (pour mille),8.2
22370,Tréméven,22,2022,Taux brut de natalité (pour mille),8.2
22371,Trémorel,22,2022,Taux brut de natalité (pour mille),8.2
22372,Trémuson,22,2022,Taux brut de natalité (pour mille),8.2
22373,Tréogan,22,2022,Taux brut de natalité (pour mille),8.2
22375,Tressignaux,22,2022,Taux brut de natalité (pour mille),8.2
22376,Trévé,22,2022,Taux brut de natalité (pour mille),8.2
22377,Tréveneuc,22,2022,Taux brut de natalité (pour mille),8.2
22378,Trévérec,22,2022,Taux brut de natalité (pour mille),8.2
22379,Trévou-Tréguignec,22,2022,Taux brut de natalité (pour mille),8.2
22380,Trévron,22,2022,Taux brut de natalité (pour mille),8.2
22381,Trézény,22,2022,Taux brut de natalité (pour mille),8.2
22383,Troguéry,22,2022,Taux brut de natalité (pour mille),8.2
22384,Uzel,22,2022,Taux brut de natalité (pour mille),8.2
22385,La Vicomté-sur-Rance,22,2022,Taux brut de natalité (pour mille),8.2
22386,Le Vieux-Bourg,22,2022,Taux brut de natalité (pour mille),8.2
22387,Le Vieux-Marché,22,2022,Taux brut de natalité (pour mille),8.2
22388,Vildé-Guingalan,22,2022,Taux brut de natalité (pour mille),8.2
22389,Yffiniac,22,2022,Taux brut de natalité (pour mille),8.2
22390,Yvias,22,2022,Taux brut de natalité (pour mille),8.2
22391,Yvignac-la-Tour,22,2022,Taux brut de natalité (pour mille),8.2
29001,Argol,29,2022,Taux brut de natalité (pour mille),8.6
29002,Arzano,29,2022,Taux brut de natalité (pour mille),8.6
29003,Audierne,29,2022,Taux brut de natalité (pour mille),8.6
29004,Bannalec,29,2022,Taux brut de natalité (pour mille),8.6
